Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
12,sludge,3,301.0,0.487,0.163,1.0,298.0,,,,1.795454545,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,4,289.0,0.41,0.144,1.0,298.0,,,,1.454545455,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,5,274.0,0.394,0.136,1.0,298.0,,,,1.545454545,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,6,256.0,0.391,0.128,1.0,298.0,,,,1.522727273,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,7,250.0,0.364,0.136,1.0,298.0,,,,1.431818182,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,8,221.0,0.362,0.119,1.0,298.0,,,,1.363636364,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,9,193.0,0.345,0.126,1.0,298.0,,,,1.409090909,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,SAC-KOH,127.0,0.32,0.114,1.0,298.0,,,,0.863636364,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
12,sludge,RC,177.0,0.401,0.14,1.0,298.0,,,,0.772727273,https://doi.org/10.1016/j.cscm.2025.e05250,2025,Enhanced CO2 adsorption of alkali-modified sludge biochar via hydrothermal activation: Mechanisms and kinetics
14,Bitumen coke,AC-600-3:0:9,1809.0,0.91,,1.0,273.0,,,,6.0,https://doi.org/10.1016/j.cej.2025.167466,2025,Pore structure optimization of activated bitumen coke using sodium thiosulfate for enhanced CO2 capture
14,Bitumen coke,AC-700-3:0:9,2265.0,1.16,,1.0,273.0,,,,6.11,https://doi.org/10.1016/j.cej.2025.167466,2025,Pore structure optimization of activated bitumen coke using sodium thiosulfate for enhanced CO2 capture
14,Bitumen coke,AC-800-3:0:9,2639.0,1.39,,1.0,273.0,,,,5.06,https://doi.org/10.1016/j.cej.2025.167466,2025,Pore structure optimization of activated bitumen coke using sodium thiosulfate for enhanced CO2 capture
14,Bitumen coke,AC-600-3:0.5:9,1566.0,0.79,,1.0,273.0,,,,6.07,https://doi.org/10.1016/j.cej.2025.167466,2025,Pore structure optimization of activated bitumen coke using sodium thiosulfate for enhanced CO2 capture
14,Bitumen coke,AC-700-3:0.5:9,2289.0,1.14,,1.0,273.0,,,,6.7,https://doi.org/10.1016/j.cej.2025.167466,2025,Pore structure optimization of activated bitumen coke using sodium thiosulfate for enhanced CO2 capture
